timestamp,ip_address,method,path,protocol,status_code,response_size,referrer,user_agent,duration_ms
[30/Oct/2025:13:21:33],137.32.74.28,GET,/cart.do?action=purchase&itemId=EST-6,HTTP 1.1,200,1675,http://www.buttercupgames.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",1835
[26/Oct/2025:07:12:38],197.14.29.37,POST,/category.screen?categoryId=ACCESSORIES,HTTP 1.1,200,1186,http://www.buttercupgames.com/cart.do?action=purchase&itemId=EST-6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",968
[16/Oct/2025:09:03:01],203.39.105.188,POST,/cart.do?action=purchase&itemId=EST-6,HTTP 1.1,200,2605,http://www.buttercupgames.com/category.screen?categoryId=ACCESSORIES,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",1259
[14/Oct/2025:22:16:26],208.40.159.204,GET,/category.screen?categoryId=ACCESSORIES,HTTP 1.1,302,2800,http://www.bing.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",1508
[31/Oct/2025:11:30:22],196.198.186.18,GET,/category.screen?categoryId=SHOOTER,HTTP 1.1,200,3710,http://www.buttercupgames.com/product.screen?productId=MB-AG-G07,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",588
[17/Oct/2025:22:38:26],114.47.21.170,POST,/cart.do?action=purchase&itemId=EST-6,HTTP 1.1,200,4348,http://www.bing.com,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",1443
[19/Oct/2025:21:19:52],101.191.164.151,GET,/oldlink?itemId=EST-19,HTTP 1.1,200,1704,http://www.bing.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",123
[26/Oct/2025:02:24:29],70.142.242.54,POST,/cart/success.do,HTTP 1.1,200,4300,http://www.buttercupgames.com,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",1326
[27/Oct/2025:16:13:13],16.147.230.88,POST,/category.screen?categoryId=SHOOTER,HTTP 1.1,200,4781,http://www.buttercupgames.com,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",601
[25/Oct/2025:20:03:10],87.145.74.85,GET,/cart/success.do,HTTP 1.1,200,4112,http://www.google.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",561
[06/Nov/2025:11:03:32],132.38.86.90,POST,/oldlink?itemId=EST-19,HTTP 1.1,200,2598,http://www.bing.com,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",825
[31/Oct/2025:18:19:41],43.162.64.87,POST,/cart.do?action=purchase&itemId=EST-6,HTTP 1.1,200,1536,http://www.buttercupgames.com,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",517
[04/Nov/2025:17:08:03],190.127.220.52,POST,/product.screen?productId=SF-BVS-G01,HTTP 1.1,200,4697,http://www.bing.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",1624
[06/Nov/2025:10:07:32],138.153.53.26,POST,/oldlink?itemId=EST-19,HTTP 1.1,404,2971,http://www.buttercupgames.com/product.screen?productId=SF-BVS-G01,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",570
[19/Oct/2025:18:01:03],154.237.94.189,GET,/cart.do?action=purchase&itemId=EST-6,HTTP 1.1,403,2878,http://www.bing.com,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",696
[30/Oct/2025:15:56:04],152.14.56.161,POST,/cart.do?action=purchase&itemId=EST-6,HTTP 1.1,200,4408,http://www.google.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",1183
[02/Nov/2025:18:03:34],157.50.106.246,POST,/category.screen?categoryId=ACCESSORIES,HTTP 1.1,200,4158,http://www.google.com,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",1540
[10/Oct/2025:08:30:47],10.82.169.93,POST,/cart.do?action=addtocart&itemId=EST-12&productId=WC-SH-G04,HTTP 1.1,200,1697,http://www.buttercupgames.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",1108
[23/Oct/2025:17:21:08],56.149.19.72,GET,/category.screen?categoryId=SHOOTER,HTTP 1.1,200,4771,http://www.buttercupgames.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",1136
[26/Oct/2025:18:26:28],137.103.84.223,POST,/product.screen?productId=MB-AG-G07,HTTP 1.1,403,1078,http://www.buttercupgames.com/cart/success.do,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",547
[17/Oct/2025:13:49:00],65.92.138.241,POST,/product.screen?productId=MB-AG-G07,HTTP 1.1,200,2382,http://www.google.com,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",368
[30/Oct/2025:20:01:03],214.56.241.70,GET,/product.screen?productId=SF-BVS-G01,HTTP 1.1,200,2901,http://www.buttercupgames.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",72
[05/Nov/2025:06:19:46],211.119.164.162,GET,/oldlink?itemId=EST-19,HTTP 1.1,200,3191,http://www.buttercupgames.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",1024
[13/Oct/2025:05:07:45],183.35.11.110,GET,/cart.do?action=addtocart&itemId=EST-12&productId=WC-SH-G04,HTTP 1.1,200,1742,,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",949
